name,seller,category,region,offering_type,update_frequency,description,price
Complete List of Vanden Borre Belgium Locations,AggData,Location Lists,Belgium,1,0,"This is a complete list of Vanden Borre Belgium locations along with their geographical coordinates. Vanden Borre sells audio, TV, multimedia and household electronics. They offer smartphones, tablets, hoverboards, cameras, refrigerators and much more. This data includes addresses for each location",59
London Stock Exchange Prices,Exchange Data International,"Banks, Insurance, Financial Services",UK,2,1,"EOD stock prices, dividends, adjustments and splits for all London Stock Exchange stocks, including delisted ones. Data from Exchange Data International",50
FXCM Daily FX Rates,FXCM Group,"Banks, Insurance, Financial Services",World,2,1,"Daily aggregated FX rates of 40 currency pairs, including open, high, low, close ask and bid exchange rates.",50
Complete List of Cinemark Theatres Locations,AggData,Location Lists,US,1,0,"This is a complete list of all Cinemark Theatres locations in the US, along with their geographical coordinates.  Cinemark provides the newest movie theater technology to make your movie watching experience fantastic.  With stadium seating and great concessions you are sure to enjoy your movie.",74
Zacks Earnings Trends,Zacks Invesment Research,"Banks, Insurance, Financial Services","US, Canada",2,1,"Updated daily, this database offers recent consensus earnings estimate revision trends for over 5,000 US and Canadian listed companies as compiled by Zacks Research",60
Complete List of Cinema 21 Indonesia Locations,AggData,Location Lists,US,1,0,This is a complete list of Cinema 21 Indonesia locations along with their geographical coordinates. Cinema 21 locations provide all the newest movies at their cinemas throughout Indonesia. Some locations have MTIX and IMAX options for viewing movies,74
Complete List of Carrefour Spain Locations,AggData,Location Lists,Spain,1,0,"This is a complete list of Carrefour Spain locations along with their geographical coordinates. Carrefour Spain is now one of the world’s largest retailers and offers a huge selection of items in a wide array of categories such as foods, home electronics, home improvement, clothing, and more. They even have their own e-book reader, the Nolim",94
Trends in Mutual Fund Investing,Invesment Company Institute,"Banks, Insurance, Financial Services",US,2,1,"Mutual funds' monthly assets and cash flows, including data on net assets, net new cash flow, sales, redemptions, and exchange activity aggregated by broad fund type",45
Barchart End of Day CBOE Index Prices,Barchart,"Banks, Insurance, Financial Services",US,2,1,"Contains data for the open, high, low, close, and volume on a variety of CBOE indexes, with history as far back as 2000.",60
Complete List of Delta Express Locations,AggData,Location Lists,"US, Canada",1,0,"This is a complete list of Delta Express locations along with their geographical coordinates. Delta Express is a brand of MAPCO Express, Inc which is a Tennessee-based convenience store chain that offers quality gas at low prices. They operate more than 370 locations in eight states. They also offer all the items you’ve come to expect at a convenience store such as: groceries, snacks, drinks, and much more",74
Public Corporation Financials,datamaven,"Banks, Insurance, Financial Services",US,1,0,"Select financial information of U.S. public corporations aggregated from the SEC's Edgar database. Data set includes income statement items (total revenue, total expenses, gross profit, net income, taxes, and EDIBTA), balance sheet items including (current & total assets, cash, debt, and current & total liabilities).",400
FXCM Hourly FX Rates,FXCM Group,"Banks, Insurance, Financial Services",World,2,1,"Hourly aggregated FX rates of 40 currency pairs, including open, high, low, close ask/bid exchange rates.",75
Complete List of Best Buy Mexico Locations,AggData,Location Lists,Mexico,1,0,"This is a complete list of Best Buy Mexico locations along with their geographical coordinates. Best Buy Mexico sells consumer electronics as well as a wide variety of related merchandise such as computers, computer software, video games, music, DVDs, Blu-ray discs, mobile phones, digital, car stereos and video cameras, as well as home appliances (washing machines, dryers, and refrigerators), in a non-commissioned sales environment",59
Complete List of Media Markt Sweden Locations,AggData,Location Lists,Sweden,1,0,"This is a complete list of Media Markt Sweden locations along with their geographical coordinates. Media Markt Sweden serves customers with the sales of televisions, audio equipment, mobile devices, music, games, cameras, and much more",59
YData Basic Events,Ydata,"Business, Distribution, E-commerce",World,2,3,"Events data for 2,200+ US, Canadian and foreign companies. Events include earnings releases and earnings conference calls. This database does not include any historical data - only most recent events data",90
Complete List of Wesco Locations,AggData,Location Lists,"US, Canada",1,0,"This is a complete list of Wesco locations, along with their geographic coordinates. Wesco sells industrial, construction, utility, government, healthcare, and international companies coordinated supplies for maintenance and operating products",59
Sharadar Fund Prices,Sharadar,"Banks, Insurance, Financial Services",US,2,1,End of day prices and dividends for active and delisted ETFs and CEFs (US).,25
Complete List of Apple Retail Store Locations,AggData,Location Lists,World,1,0,This is a complete list of all Apple Retail Store locations and their geographic coordinates. Apple deals in computers and consumer electronics.  The Apple Retail Store is a chain of retail stores owned and operated by Apple Inc,99
NYSE MKT (AMEX) Prices,Exchange Data International,"Banks, Insurance, Financial Services",US,2,1,"Professional-grade EOD stock prices, dividends, adjustments and splits for all NYSE MKT stocks. Updated daily. History to 2007. Data from Exchange Data International",50
Complete List of 7-Eleven Japan Locations,AggData,Location Lists,Japan,1,0,"This is a complete list of 7-Eleven Japan locations along with their geographical coordinates. 7-Eleven Japan is part of an international chain of convenience stores. 7-11’s are usually operated as franchise locations. They are headquartered in Dallas, Texas and are known for their Slurpees and Big Gulps. Note: Due to the nature of the primary data source for this list, the overall geoaccuracy may be lower then the standard advertised quality metrics. If you have any questions, please contact the AggData Customer Service Team",99
Complete List of Tesla Motors Locations,AggData,Location Lists,"US, Canada",1,0,"This is a complete list of Tesla Motors locations, along with their geographic coordinates. Tesla Motors Inc, manufactures electric cars. The company was founded in 2003 by a group of Silicon Valley engineers. In early 2008 they launched the Tesla Roadster, after four short years, over 2,300 Roadsters had been sold in more than 37 countries",99
Complete List of BCC Elektro-specialist Netherlands Locations,AggData,Location Lists,Netherlands,1,0,"This is a complete list of BCC Elektro-specialist Netherlands locations along with their geographical coordinates. BCC sells audio, TV, multimedia and household electronics. They offer smartphones, tablets, computers, cameras, refrigerators and much more. This data includes addresses for each location",59
Hanover Stock Exchange Prices,Exchange Data International,"Banks, Insurance, Financial Services",Hanover,2,1,"EOD stock prices, dividends, adjustments and splits for Hanover Stock Exchange stocks, including delisted ones. Data from Exchange Data International",50
Complete List of Staples Canada Locations,AggData,Location Lists,Canada,1,0,"This is a complete list of all Staples Canada locations, along with their geographic coordinates. Staples is a retail store chain that sells office supplies, office machines, promotional products, furniture, technology and business services",74
Complete List of Falken Tire distributor Locations,AggData,Location Lists,"US, Canada",1,0,This is a complete list of Falken Tire distributor locations along with their geographical coordinates. Falken Tire is the high-performance branch of Japan’s Ohtsu Tires. They manufacture and sell high-quality sporting and racing tires for the customer who demands better quality and durability in their performance tires. The data includes phone numbers and addresses for each location,99
Zacks Fundamentals Collection C,Zacks Invesment Research,"Banks, Insurance, Financial Services","US, Canada",2,1,"600+ fundamental indicators, including income statement, balance sheet, cash flow line items and pre-calculated ratios for 17,000+ US and Canadian Equities, which include 9,000+ delisted stocks. Updated daily",180
S&P 500 One Minute Bars,Algoseek,Economic,US,2,1,Intraday quotes for all stocks in the S&P 500 Index. Trade-based minute bars showing OHLCV for every stock every day. Includes all index changes,100
Complete List of Argos Ireland Locations,AggData,Location Lists,Ireland,1,0,"This is a complete list of Argos Ireland locations along with their geographical coordinates. Argos sells the best in home products. Whether home entertainment, jewelry, toys & games, baby supplies, gifs, or home and garden, Argos has it all. This data includes addresses for each location",59
Zacks Upcoming Splits,Zacks Invesment Research,"Banks, Insurance, Financial Services","US, Canada",2,1,"Updated daily, this database provides upcoming expected stock splits for US traded stocks culled from company issued press releases and SEC 8-K reports",60
US Equity Option Ratings,Quantcha,"Banks, Insurance, Financial Services",US,2,1,"Standard and proprietary option-centric ratings for US equities covering relative implied volatility valuation, expected implied volatility crush after earnings, and underlying option liquidity.",100
Dow Jones Transportation Average One Minute Bars,Algoseek,Economic,US,2,1,Intraday quotes for all stocks in the Dow Jones Transportation Average. Trade-based minute bars showing OHLCV for every stock every day. Includes all index changes,25
Complete List of Albert Heijn Belgium (AH) Locations,AggData,Location Lists,Belgium,1,0,"This is a complete list of Albert Heijn Belgium (AH) locations along with their geographical coordinates. Albert Heijn Belgium (AH) is a Belgian grocery and department store that supplies all your needs. Their departments include: pharmacy, health and beauty, kitchen wares, produce, meats, and much more. They even have a line of gluten-free products",59
Complete List of ExxonMobil Australia Locations,AggData,Location Lists,Australia,1,0,This is a complete list of all ExxonMobil Australia petrol stations. Exxon Mobil is an American multinational oil and gasoline corporation that has descended from Rockefeller's Standard Oil. This list covers all of the Exxon Mobil petrol stations located throughout Australia. We are no longer collecting this data,74
Complete List of Toyota UK Locations,AggData,Location Lists,UK,1,0,"This is a complete list of Toyota UK locations along with their geographic coordinates. Toyota Motor Company is a multinational corporation based out of Japan. Toyota sells cars, trucks, SUV's, vans, and hybrids. This data includes phone numbers and addresses for each location",67
Foreign Exchange Rates,Exchange Data International,"Banks, Insurance, Financial Services",World,2,1,"Sourced from major banks and dealers, this data feed offers synchronized FX (foreign exchange) rates for 170+ currencies with history to 2000.",360
Core US Insiders Data,Sharadar,"Banks, Insurance, Financial Services",US,2,3,"More than 12 years of insider holdings & transactions history for more than 15,000 issuers and 200,000 insiders",49
Texas Chiropractors,ProFirst Marketing,"Health, Medicine",Texas,2,1,"List of Texas Chiropractors including Clinic Name, Chiropractor's Name, email, Phone, Address, and Website.",100
Complete List of Titan distributor Locations,AggData,Location Lists,"US, Canada",1,0,"This is a complete list of Titan locations along with their geographical coordinates. Titan International, Inc. is the manufacturer of both the Titan and Goodyear brands of farm tires. They make all manner of heavy duty farm and construction equipment",94
End of Day US Stock Prices,Quotemedia,"Banks, Insurance, Financial Services",US,2,1,"Professional-grade EOD stock prices, dividends, adjustments and splits for publicly-traded US stocks. Updated daily. History to 1996. Quotemedia data.",39
Zacks Earnings Surprises,Zacks Invesment Research,"Banks, Insurance, Financial Services","US, Canada",2,1,"Updated daily, this database chronicles historical estimated and actual earnings and surprise calculations for 16,000+ US and Canadian listed companies going as far back as 1999.",120
Complete List of American Swiss South Africa Locations,AggData,Location Lists,South Africa,1,0,This is a complete list of American Swiss South Africa locations along with their geographical coordinates. American Swiss is a banner of TFG (The Foschini Group) South Africa. This data includes phone numbers and addresses for each location,99
Core China Fundamentals Data,Datayes,"Banks, Insurance, Financial Services",China,2,1,"Fundamental data for the Chinese stock market, including 150 essential fundamental indicators, financial ratios, and financial factors for Chinese public companies (including delisted companies) trading on the Shanghai Stock Exchange and the Shenzhen Stock Exchange",50
Complete List of Decathlon France Locations,AggData,Location Lists,France,1,0,"This is a complete list of Decathlon France locations along with their geographical coordinates. Decathlon is an outdoor sports clothing store. They sell products for horse riding, squash, badminton, cardio and more. They have name brand items for the whole family. This data includes phone numbers and addresses for each location",74
Realized Volatility Forecasts,Snowfall Systems,"Banks, Insurance, Financial Services",US,2,1,"Updated daily, this database offers data on realized (historical) volatility & forecasts with 1-day and 1-week windows for 2,000+ stocks, indices and ETFs",100
Complete List of 7-Eleven Sweden Locations,AggData,Location Lists,Sweden,1,0,"This is a complete list of 7-Eleven Sweden locations along with their geographical coordinates. 7-Eleven Sweden is part of an international chain of convenience stores. 7-11’s are usually operated as franchise locations. They are headquartered in Dallas, Texas and are known for their Slurpees and Big Gulps",67
OTC Bulletin Board Prices,Exchange Data International,"Banks, Insurance, Financial Services",World,2,1,"Professional-grade EOD stock prices, dividends, adjustments and splits for all OTC Bulletin Board stocks. Updated daily. History to 2007. Data from Exchange Data International",50
FinSentS Web News Sentiment,Infotrie,"Media, Publishing, Arts, Entertainment",World,2,1,"Daily news sentiment indicators for 30,000+ stocks since 2013, derived from the publicly available internet sources.",40
Complete List of Chevrolet dealer Locations,AggData,Location Lists,US,1,0,"This is a complete list of all Chevrolet dealership locations, along with their geographic coordinates. Chevrolet, also know as Chevy, is a brand of automobiles produced by General Motors. Chevy is the top selling GM brand with vehicles ranging from subcompact cars to medium duty commercial trucks. This list may include dealerships that also sell other GM vehicles, such as Buick, Cadillac, GMC, Pontiac, and Saturn",99
Complete List of TSUTAYA Japan Locations,AggData,Location Lists,Japan,1,0,"This is a complete list of TSUTAYA Japan locations along with their geographical coordinates. TSUTAYA is a computer and electronic store that sells dvds, games, smartphones, tablets and more",94
Nevada Homeowner Audience with Swimming Pools & Lower Taxes,Infutor Data Solutions,Mailling Lists,Nevada,1,0,"This data set contains 2,008 records of Nevada homeowners with a high frequency of swimming pools and lower taxes. Records include name, street address and multiple email addresses (as available). These homeowners also have a lower frequency of having gas heating within their homes.",750
Complete List of Argos Ireland Locations,AggData,Location Lists,Ireland,1,0,"This is a complete list of Argos Ireland locations along with their geographical coordinates. Argos sells the best in home products. Whether home entertainment, jewelry, toys & games, baby supplies, gifs, or home and garden, Argos has it all. This data includes addresses for each location",59
Zacks Fundamentals Collection A,Zacks Invesment Research,"Banks, Insurance, Financial Services","US, Canada",2,1,"90+ fundamental indicators, including income statement, balance sheet, cash flow line items and precalculated ratios, for over 17,000 US equities, including 9,000+ delisted stocks. Financial statement items are mapped to a single industrial statement template",120
MarketWorks ICE Futures Settlement Prices,Applied Research,"Banks, Insurance, Financial Services",US,2,1,"Daily settlement prices for every futures contract settled at ICE exchanges (ICUS, ICCA, ICEC, ICEF, ICEP, and ICSG) going back to 2012.",150
Complete List of FedEx Locations,AggData,Location Lists,US,1,0,"This is a complete list of all FedEx locations, along with their geographic coordinates. FedEx is a global shipping company that merged with Kinkos, a printing services chain, in 2004 to form FedEx Kinkos locations, now called FedEx Office. This list includes all types of FedEx locations including FedEx Office location (formerly FedEx Kinko's locations), FedEx Authorized Ship Center locations, FedEx Staffed locations, and FedEx ShipSites",99
Complete List of Alfa Romeo Locations,AggData,Location Lists,US,1,0,This is a complete list of Alfa Romeo locations along with their geographical coordinates. Alfa Romeo is a luxurious car manufacturer. They started in 1910 and are most know for their sporty cars. This data includes phone numbers and addresses for each location,67
YData Enhanced Events History,Ydata,"Business, Distribution, E-commerce",World,2,3,"Events data for 2,200+ US, Canadian and foreign companies. Events include earnings releases, earnings conference calls, analyst/investor events, business updates, industry conferences, AGMs, and shareholder meetings. History to 2005.",360
Complete List of Allen Solly India Locations,AggData,Location Lists,India,1,0,"This is a complete list of Allen Solly India locations along with their geographical coordinates. Allen Solly is a brand of Madura Fashion & Lifestyle. Allen Solly is a fashion retailer for women, men and children. They offer products ranging from outerwear, dresses, jackets, footwear and much more. This data includes phone numbers and addresses for each location",67
Zacks Preannouncement History,Zacks Invesment Research,"Banks, Insurance, Financial Services","US, Canada",2,1,"Updated monthly, this database contains historical company guidance data for 4,000+ public companies going as far back as 2002",120
ETF Industry Profiles,ETF Global,"Banks, Insurance, Financial Services",US,2,1,"Daily industry profile data for 1,900+ US ETFs: AUM, bid-ask spread, market/geographic/industry exposure and other indicators. Industry-specific information on service providers and market makers. History to 2014",40
Zacks Institutional Holdings Collection,Zacks Invesment Research,"Banks, Insurance, Financial Services",US,2,1,"Updated daily, this database contains detailed institutional ownership information for over 6,000 actively traded US equities",120
OTC Markets Group Prices,Exchange Data International,"Banks, Insurance, Financial Services",World,2,1,"Professional-grade EOD stock prices, dividends, adjustments and splits for all OTC Markets Group stocks. Updated daily. History to 2007. Data from Exchange Data International",50
Complete List of Sears Mexico Locations,AggData,Location Lists,Mexico,1,0,"This is a complete list of Sears Mexico locations along with their geographical coordinates. Sears is an US based chain of department stores. Sears stores carry clothing, jewelry, appliances, hardware, lawn and garden supplies, lawn mowers, paint, sporting goods, automobile repair, office supplies, electronics and school supplies. The data includes phone numbers for each location",59
Complete List of Daily Yamazaki Japan Locations,AggData,Location Lists,Japan,1,0,"This is a complete list of Daily Yamazaki Japan locations along with their geographical coordinates. Daily Yamazaki Japan sells baked goods, confectioneries, bread and pastries. As a convenience store, Daily Yamazaki has been serving customers throughout Japan since December of 1977",94
Top Economists Audience,ProFirst Marketing,Mailling Lists,US,1,0,Our Top Economists Audience list allows you to easily build a Facebook Audience of the world's top economists. A Facebook Audience allows you to choose which people see your ad or boosted post in their Facebook News Feed.,200
Robur Global Select Stock Fundamentals,Robur Investment Resources,"Banks, Insurance, Financial Services","Asia, Europe",2,1,"70+ harmonized financials, ratios, forecasts for 8,000+ most liquid global stocks. Focus on Asia/Europe.",100
Complete List of NetOnNet Sweden Locations,AggData,Location Lists,Sweden,1,0,"This is a complete list of Spaceworld Soundgarden Norway locations along with their geographical coordinates. Spaceworld Soundgarden are experts in audio, mobile, wearables and have high demands on performance and design. They offer the market's best selection of headphones and a rich range of audio and video products. This data includes addresses and phone numbers for each location",59
Complete List of Century Theatres Locations,AggData,Location Lists,US,1,0,This is a complete list of Century Theatres locations along with their geographic coordinates. Century Theatres is a brand of Cinemark Theatres,74
Complete List of BMW Russia Locations,AggData,Location Lists,Russia,1,0,"This is a complete list of BMW Russia locations along with their geographical coordinates. BMW Russia is a German luxury automobile, motorcycle and engine manufacturing company",59
Complete List of Lucky Seven Australia Locations,AggData,Location Lists,Australia,1,0,This is a complete list of Lucky Seven Australia locations along with their geographical coordinates. Lucky Seven is a grocery store convenience chain that offers a variety of products as well as monthly specials. This data includes phone numbers and addresses,59
Complete List of Ardene Canada Locations,AggData,Location Lists,Canada,1,0,"This is a complete list of Ardene Canada locations along with their geographical coordinates. Ardene Canada sells fashionable tops, bottoms, dresses, swimwear, outerwear, active wear, and intimates. They also have footwear, jewelry, and accessories",74
Sharadar Equity Prices,Sharadar,"Banks, Insurance, Financial Services",US,2,1,"EOD Stock prices and dividends for more than 15,000 US public companies from 1998.",39
Zacks Street Earnings Estimates,Zacks Invesment Research,"Banks, Insurance, Financial Services","US, Canada",2,1,"Updated daily, this database offers consensus street earnings estimates for over 5,000 US and Canadian listed companies as compiled by Zacks Research. Under the Street methodology, adjustments are made for non-recurring items and stock option expenses on a case by case basis according to the treatment applied by the majority of covering analysts for each stock",120
Quantcha Risk Metrics,Quantcha,"Banks, Insurance, Financial Services",US,2,1,"Daily key risk metrics for 6,000+ US equities, including market betas, correlations, and systematic & unsystematic risk decompositions",100
Trading Economics,Trading Econoimcs,"Banks, Insurance, Financial Services",World,2,1,"Comprehensive, harmonized macroeconomic statistics for 200+ countries. 200+ indicators (GDP, CPI, PPI, IP, BOP, FDI, Employment, etc.) from 1000+ sources.",75
Zacks EBITDA,Zacks Invesment Research,"Banks, Insurance, Financial Services","US, Canada",2,1,"Updated daily, this database offers EBITDA estimates for over 3,500 US and Canadian listed companies as compiled by Zacks Research",120
Complete List of EURONICS Germany Locations,AggData,Location Lists,Germany,1,0,"This is a complete list of EURONICS Germany locations along with their geographical coordinates. EURONICS Germany is the German branch of EURONICS International, which has over 11,000 locations across 31 European Countries. They are an electronics store that offers a huge range of items and brands. Some of their more recognizable brand names are: Apple, Lenovo, Canon, Samsung, Braun, Microsoft, and Hitachi",89
YData Enhanced Events,Ydata,"Business, Distribution, E-commerce",World,2,3,"Events data for 2,200+ US, Canadian and foreign companies. Events include earnings releases, earnings conference calls, analyst/investor events, business updates, industry conferences, AGMs, and shareholder meetings. This database does not include any historical data - only most recent events data.",180
Mergent Global Fundamentals Data,Mergent,"Banks, Insurance, Financial Services",World,2,1,"50+ fundamental indicators, including derived margins and ratios, for 11,000+ companies in 67 countries as covered by the Russell Global Index. Includes auditor status for each company",70
Complete List of Carrefour China Locations,AggData,Location Lists,China,1,0,"This is a complete list of Carrefour China locations along with their geographical coordinates. Carrefour China is China’s branch of the French based Carrefour chain of hyper markets. They offer a huge selection of produce, meats, wines, and other grocery and non-grocery items",59
Euronext Amsterdam Stock Prices,Exchange Data International,"Banks, Insurance, Financial Services",Amsterdam,2,1,"EOD stock prices, dividends, adjustments and splits for stocks in Euronext Amsterdam, including delisted ones. Data from Exchange Data International",50
Barchart CME U.S. Futures,Barchart,"Banks, Insurance, Financial Services",US,2,1,"Updated daily, this data feed offers futures prices for over 200 contracts traded on the CME U.S. Exchange. Data history goes back to 1990.",137.5
Chinese Corporate Actions,Datayes,"Banks, Insurance, Financial Services",China,2,1,"Corporate actions by Chinese companies, including dividends, reforms, allotments, daily returns, and IPO for public companies (listed and delisted) on the Shanghai and Shenzhen exchanges",50
Complete List of Casa Palacio Locations,AggData,Location Lists,Mexico,1,0,"This is a complete list of Casa Palacio locations along with their geographical coordinates. Casa Palacio is a brand of El Palacio de Hierro. El Palacio de Hierro Mexico is campaigned with the phrase Soy Totalmente Palacio. They have been in business since 1891, with the desire to be the best and highest quality department store in Mexico. Casa Palacio sells beautiful clothing, cosmetics, jewelry, and much more, Palacio de Hierro sells it all",59
Complete List of Cultura France Locations,AggData,Location Lists,France,1,0,"This is a complete list of Cultura France locations along with their geographical coordinates. Cultura France is a book/music/video store chain that was started in 1998, and now has 60 locations across France that host over 4500 events annually. In addition to books and audio/video, they sell e-books, musical instruments, toys and games. Note: Due to the nature of the primary data source for this list, the overall geoaccuracy may be lower than the standard advertised quality metrics. If you have any questions, please contact the AggData Customer Service Team.",59
Zacks Consensus Earnings Estimate History,Zacks Invesment Research,"Banks, Insurance, Financial Services","US, Canada",2,1,"Consensus earnings estimate revision history for over 22,000 publicly traded companies going as far back as 1979",180
Zacks Long Term Growth History,Zacks Invesment Research,"Banks, Insurance, Financial Services","US, Canada",2,1,"Historical long term growth estimate revisions for 5,000+ publicly traded US and Canadian companies going as far back as 1979",120
Shanghai Stock Exchange Prices,Exchange Data International,"Banks, Insurance, Financial Services",China,2,1,"Professional-grade EOD stock prices, dividends, adjustments and splits for all Shanghai Stock Exchange stocks. Updated daily. History to 2007. Data from Exchange Data International",50
Complete List of Albert Heijn (AH) Netherlands Locations,AggData,Location Lists,Netherlands,1,0,"This is a complete list of Albert Heijn (AH) Netherlands locations along with their geographical coordinates. Albert Heijn (AH) Netherlands is a grocery store chain that provides customers with fresh produce, bakery, meat, cheese, and all the usual grocery items. They pride themselves on high quality foods at great prices",89
Public Corporation Auditors,datamaven,"Business, Distribution, E-commerce",US,1,0,"Data set containing every U.S. based pubic corporation, the primary auditor of that company, and the auditor's opinions. Auditors' opinions of both financials and governance controls are provided. Finance opinion ranges from unaudited, unqualified (no issues), unqualified with specific language (no issues with explanation), qualified (limited, specific issues), no opinion, to adverse opinion (financial statements are not accurate). Governance controls opinion ranges from no opinion, effective (no issues), adverse (issues), disclaimer (unable to evaluate), to delayed filing.",250
Complete List of Harley-Davidson Locations,AggData,Location Lists,World,1,0,"This is a complete list of Harley-Davidson locations along with their geographical coordinates. Harley-Davidson locations provide the ultimate American made motorcycles. They have Sportsters, Dynas, Softails, V-Rods, Tourings, CVOs, and Harley-Davidson Street varieties. Harley-Davidson takes pride in their culture and sells accessories, clothing, and much more to make your ride and life more enjoyable. The data includes phone numbers and store hours for each location",99
Complete List of Makro Cash and Carry Belgium Locations,AggData,Location Lists,Belgium,1,0,"This is a complete list of Makro Cash and Carry Belgium locations along with their geographical coordinates. Makro Cash and Carry Belgium provides fresh produce, seafood, meat, and bakery items for their customers. They also sell all the usual grocery items in a friendly environment for great prices. The data includes phone numbers and store hours for each location",59
Barchart Euronext.LIFFE Commodities Futures,Barchart,"Banks, Insurance, Financial Services",Europe,2,1,"Update daily, this database offers futures prices for 52 contracts traded on the Euronext LIFFE Futures Exchange. Data history goes back to 1990",85
Barchart End of Day S&P Index Prices,Barchart,"Banks, Insurance, Financial Services",US,2,1,"Open, high, low and close prices for a variety of S&P indexes, with history as far back as 2010.",60
Zacks Analyst Recommendations,Zacks Invesment Research,"Banks, Insurance, Financial Services","US, Canada",2,1,"Updated daily, this database offers consensus analyst recommendations for over 5,000 publicly traded companies as compiled by Zacks Research.",120
Core India Fundamentals Data,D’Market,"Banks, Insurance, Financial Services",India,2,1,"Essential fundamental indicators and financial ratios for more than 4,000 Indian public companies trading on the Bombay Stock Exchange (BSE) and National Stock Exchange (NSE)",30
BNC Liquid Index,Brave New Coin,"Banks, Insurance, Financial Services",World,2,1,"Updated daily, this database contains the first true historical price for bitcoin, built specifically for institutional use as derived by the robust BNC Bitcoin Liquid Index methodology",100
National Stock Exchange of India Prices,Exchange Data International,"Banks, Insurance, Financial Services",India,2,1,"EOD stock prices, dividends, adjustments and splits for all National Stock Exchange of India (NSE) stocks, including delisted ones. Data from Exchange Data International",50
Complete List of CinéBistro Locations,AggData,Location Lists,US,1,0,"This is a complete list of CinéBistro locations along with their geographical coordinates. CinéBistro is the dining experience venue of Cobb Theatres. They offer convenient reserved seating, luxurious recliners, and an in-theatre full-service dining experience. They also have a full bar with a wide selection of wine, beer, and cocktails",59
BNC Digital Currency Indexed EOD,Brave New Coin,"Banks, Insurance, Financial Services",World,2,1,"Historical global price indexes for a number of cryptocurrencies, as calculated by Brave New Coin. Updated daily.",40
OptionWorks ICE Options Settlement Prices,Applied Research,"Banks, Insurance, Financial Services",US,2,1,"Daily settlement prices for every option contract traded at CME Group exchanges (CME, CBT, NYMEX, and COMEX) going back to 2012.",150
Complete List of Bumper to Bumper Canada distributor Locations,AggData,Location Lists,Canada,1,0,"This is a complete list of Bumper to Bumper Canada distributor locations along with their geographical coordinates. Bumper to Bumper Canada sells parts, chemicals, lubricants, tools, equipment, light industrial, and painting equipment through various independent business owners.  In 2016, Uni-Select Canada changed the name of its network of Canadian independent automotive wholesalers and corporate stores: Bumper to Bumper– Canada’s Parts People. They are not affiliated with Bumper to Bumper in the US. The data includes phone numbers and store hours for each location",89
Complete List of BP in South Africa Locations,AggData,Location Lists,South Africa,1,0,"This is a complete list of BP in South Africa locations, along with their geographic coordinates. BP (British Petrol) in South Africa locations provide customers with quality fueling and convenience store options throughout South Africa. They provide the best selling coffee at each of the Wild Bean Cafe locations within each store",89
Complete List of Coop Elektro Norway Locations,AggData,Location Lists,Norway,1,0,"This is a complete list of Coop Elektro Norway locations along with their geographical coordinates. Coop Elektro Norway is a brand of Coop Norge. Coop Elektro Norwaysells appliances, brown goods, data, mobile, personal care products and other small electronic goods",94
Zacks Street Earnings Surprises,Zacks Invesment Research,"Banks, Insurance, Financial Services","US, Canada",2,1,"Updated daily, this database chronicles historical estimated and actual street earnings for 9,000+ US and Canadian listed companies over 12 quarters. Under the Street methodology, adjustments are made for non-recurring items and stock option expenses on a case by case basis according to the treatment applied by the majority of covering analysts for each stock.",90
Barchart End of Day Nasdaq Index Prices,Barchart,"Banks, Insurance, Financial Services",US,2,1,"Open, high, low and close prices for a variety for a variety of Nasdaq indexes, with history as far back as 1995.",60
Barchart ICE Canada Futures,Barchart,"Banks, Insurance, Financial Services",Canada,2,1,"Updated daily, this database offers futures prices for Canola contracts traded on the ICE Canada Exchange. Data history goes back to 1993",85
Zacks Historical Daily Maintenance,Zacks Invesment Research,"Banks, Insurance, Financial Services","US, Canada",2,1,"Historical daily corporate actions for over 7,000 US and Canadian listed companies covered by Zacks Research. Action items include new company additions, de-listings, fiscal year end changes, company name changes, ticker symbol changes and stock splits",100
Chinese Spot Metal Prices,Datayes,"Banks, Insurance, Financial Services",China,2,1,"Chinese spot metal price data, including basic information and daily prices, from Shanghai Gold Exchange, with history to 2009",25
OptionWorks Futures Options,Applied Research,"Banks, Insurance, Financial Services",US,2,1,"EOD implied volatilities for options on major futures contracts, including at-the-money, risk reversals, butterflies, and skew models.",150
Complete List of Chevron Canada Locations,AggData,Location Lists,Canada,1,0,"This is a complete list of Chevron Canada gas station locations, along with their geographic coordinates. Chevron Corporation is the world's fourth largest non-government energy company and is involved in every aspect of the oil and gas industry. In 1995 Chevron introduced a campaign to promote it's new gasoline with Techron",67
Complete List of Abercrombie Kids Locations,AggData,Location Lists,World,1,0,"This is a complete list of Abercrombie Kids locations, along with their geographic coordinates. Abercrombie Kids is the Abercrombie and Fitch store for children. Abercrombie stores embody privilege and the East Coast mentality. With comfortable classical design your kids will look great in the lovely dresses, versatile jeans and tees, and other classy clothing",74
Complete List of Black's Photo Canada Locations,AggData,Location Lists,Canada,1,0,"This is a complete list of all Black's Photo Canada locations. Black's Photo Canada was a photography store that specialized in photo gifts and products. Blacks provided help with digital photo printing, photo books, and other photo gifts for occasions or special events. All Black's Photo stores closed Aug. 8, 2015",59
Securities Lending Data,FIS Global,"Banks, Insurance, Financial Services",World,2,1,"Daily securities lending data for lenders, borrowers, and investment managers",2500
